distance_km,pickup_borough,dropoff_borough,hour,passenger_count,duration_min
2.277199890271138,Bronx,Bronx,16,1,11.1806537036103
4.242639584205209,Brooklyn,Manhattan,16,4,19.03718930882711
6.383675553406401,Brooklyn,StatenIsland,1,3,28.084704677676203
14.55316724809412,Manhattan,Queens,22,1,50.50573169974004
2.8535983093907187,Queens,StatenIsland,18,4,19.377999212928664
12.930758266573187,Queens,Queens,9,1,43.84340117284025
2.8641564305304494,StatenIsland,Brooklyn,18,1,19.235895220824215
5.400448260005802,StatenIsland,Brooklyn,6,1,22.317052958027325
10.326980852017781,Bronx,Manhattan,1,4,37.33395290871314
9.439745487676678,Bronx,Brooklyn,18,1,43.45975848845825
14.34657437899324,Manhattan,Bronx,12,1,45.48892620688412
6.465311322576921,Queens,Bronx,19,4,33.45044551376415
14.124806273686719,Queens,Bronx,21,3,51.523202646192814
13.937856044926622,Brooklyn,Brooklyn,11,2,49.08072417005543
10.87579025817155,StatenIsland,Manhattan,20,2,38.01903124772883
0.7822006066484901,Brooklyn,Bronx,5,4,7.801256667121585
12.062289850803717,StatenIsland,StatenIsland,18,4,45.51806175277499
13.560950232570148,Brooklyn,Manhattan,14,2,50.084169990789064
8.096010886803654,Queens,Manhattan,3,2,31.513114544850108
3.358858989173011,Manhattan,Bronx,13,2,16.521106656344166
3.121501844386961,Bronx,Manhattan,18,1,18.217856176921
12.758229517320022,Brooklyn,StatenIsland,2,4,44.063458902664365
1.7649958530597658,Bronx,Manhattan,4,3,11.500305188097858
8.419993221419386,Queens,Manhattan,6,2,27.993015857673004
3.449646307824252,StatenIsland,StatenIsland,17,2,24.891231114611635
4.868564899588851,StatenIsland,Manhattan,0,3,19.323046834038877
14.668739909691311,Bronx,Manhattan,6,1,49.11387811829319
4.511064146537508,Bronx,Brooklyn,1,1,16.733958702485573
10.410896776559174,Queens,Queens,13,3,36.95780594690227
11.627084940462375,Brooklyn,StatenIsland,4,1,40.75412509268183
4.679367862178481,Brooklyn,StatenIsland,23,4,16.861381870656892
2.6251134891052996,Bronx,Bronx,12,4,14.933814202252082
11.696328568806624,Brooklyn,Bronx,3,3,43.156149783110415
7.077481029092156,Bronx,Queens,1,1,25.302413315590726
4.674254208943715,Manhattan,Queens,19,1,24.05811704413647
3.5685308906749857,Brooklyn,Brooklyn,21,3,20.21508781602257
14.762512990005433,Queens,StatenIsland,2,4,54.21870524707734
9.871450248762153,Queens,Queens,17,1,40.927502593774044
8.084426440697758,Manhattan,StatenIsland,23,1,30.39232344017141
2.155834873974495,Queens,Brooklyn,18,2,17.974407851588975
13.730439380338561,Brooklyn,Bronx,17,1,53.42616343896206
5.325409123963183,Manhattan,Bronx,1,4,21.365589782766936
11.965745327109055,StatenIsland,StatenIsland,4,3,42.11195806648553
13.627382915298206,Brooklyn,Manhattan,13,3,45.71198781981772
3.484763189324826,Brooklyn,Bronx,9,3,18.88892854000393
14.680247764705161,Brooklyn,Brooklyn,16,2,49.1613887299084
13.46586946396179,StatenIsland,Queens,1,2,45.36806504259823
8.708829654021644,Brooklyn,StatenIsland,2,3,32.59377311845363
11.002555395088374,Brooklyn,Brooklyn,17,2,40.52722711293405
4.522214612012437,Manhattan,Manhattan,17,1,22.209179858385593
10.993711828927296,Queens,Manhattan,2,1,36.99718422579043
6.751438844663353,Queens,Manhattan,21,2,27.58874327086516
5.219615262473462,Brooklyn,Manhattan,5,2,21.751982614388478
10.604641122233044,Queens,StatenIsland,20,3,43.70141366023963
6.055353547736514,StatenIsland,Manhattan,16,3,23.131707053465682
10.715465944744036,StatenIsland,Bronx,13,4,36.76747661259836
12.847182696409156,Brooklyn,Queens,3,4,46.663488682542265
4.426880666616626,StatenIsland,Brooklyn,6,2,18.94243128697682
3.4942399125485277,Brooklyn,Bronx,10,1,20.64978847587541
5.145305550301787,Bronx,Brooklyn,22,4,20.89359051642732
6.644365214691365,StatenIsland,Queens,17,3,30.007217900177345
11.062145084332247,Manhattan,Bronx,8,4,37.52448098398161
6.843520539243116,Brooklyn,Brooklyn,17,1,30.39319574175903
10.555275790241536,Manhattan,Manhattan,20,1,35.87744440140971
14.93309245005099,Brooklyn,Brooklyn,5,2,50.330306035950954
3.8888495650032597,Bronx,StatenIsland,2,2,18.686828500837773
11.497179852577299,Brooklyn,Bronx,4,1,38.34107507084528
7.413416952306109,StatenIsland,Bronx,20,3,29.23120989674476
6.563418095790868,Bronx,StatenIsland,20,2,29.988386435270087
9.224058357956899,Bronx,Brooklyn,23,1,32.214903721536324
2.2133108310449465,Bronx,Manhattan,5,4,14.70936780773434
5.072806858628187,Queens,Bronx,22,3,24.094283835410813
4.472294070179872,Queens,Brooklyn,21,1,20.070734575661934
9.351241785484422,Queens,Manhattan,2,3,36.22010735628138
3.7623679489589037,StatenIsland,Bronx,8,4,19.944585151481927
1.1871669920172647,Manhattan,StatenIsland,21,1,12.971481212028621
1.089386470620669,Brooklyn,Queens,21,3,8.51857358168427
11.730837855472089,Manhattan,Brooklyn,13,1,38.1411712277891
10.415401814850613,Brooklyn,Bronx,19,1,44.484208061213714
12.818652569400626,Queens,Queens,10,1,43.04187018308241
10.319193599792197,Bronx,Brooklyn,22,2,34.811229355644194
1.2576382033179274,Bronx,Brooklyn,17,1,16.79429383664177
10.666407430757154,StatenIsland,StatenIsland,22,3,38.510521740147595
8.431414622179485,Manhattan,StatenIsland,15,4,34.27312739518853
14.445995585240569,StatenIsland,Brooklyn,19,4,54.16359560545823
3.8319158578377572,Manhattan,Manhattan,23,3,13.642100860959122
1.6282410010990496,Bronx,Bronx,7,2,10.187768669106445
12.5769119851479,Bronx,Manhattan,9,1,43.07177825712379
6.628979890394856,Brooklyn,Brooklyn,9,1,25.761255920814662
7.314540126135043,Queens,Manhattan,13,3,29.822163377341166
10.895882003471986,Queens,StatenIsland,8,2,38.970159194144735
3.15220357330232,Manhattan,StatenIsland,1,1,12.152960523571055
7.03986795029422,Bronx,Manhattan,5,4,29.320418221080057
12.13372244169039,Brooklyn,Brooklyn,14,2,38.29616778643243
9.114220442490442,Brooklyn,Queens,16,3,32.348471757281935
13.595978998739252,Manhattan,Queens,3,1,46.03574111091152
13.048019630906602,Queens,Bronx,4,3,45.04482573645598
4.465694836208079,Queens,Manhattan,14,3,18.040307263454483
12.038516303354436,Brooklyn,Queens,2,1,40.14075339352521
9.724089058647552,Manhattan,Queens,2,3,33.33608115368986
2.255795642985929,Manhattan,StatenIsland,10,2,12.718459968852144
4.322540123815296,StatenIsland,Queens,19,1,21.135154848076542
11.429746951519874,StatenIsland,Bronx,6,2,41.40923333774183
12.766248490136453,Queens,Brooklyn,16,1,45.367634191112046
2.7492834487092805,Brooklyn,StatenIsland,2,2,15.932906803439845
10.70935333245437,StatenIsland,Bronx,1,4,36.41965373568332
5.22544270463075,Bronx,Manhattan,23,2,20.19546559546479
3.1609469114804973,Bronx,Brooklyn,5,3,16.471408242840784
1.9292498711277395,Brooklyn,StatenIsland,12,4,9.240806567001496
1.9315808131603125,Queens,Queens,19,4,15.19508624981345
7.212943412766882,Brooklyn,StatenIsland,7,1,25.188356699049308
2.183630904447675,Queens,Manhattan,6,2,11.795459276552759
9.287025830042575,Manhattan,Manhattan,18,2,39.361930495301465
12.463700985383612,Brooklyn,Bronx,7,3,42.39556661542044
6.626413057874645,Brooklyn,StatenIsland,14,2,21.014535482656086
9.48523691246227,Bronx,Manhattan,12,1,33.13053264998347
12.626646252199695,Queens,StatenIsland,23,1,40.77070465377365
12.449143513684458,Bronx,Queens,12,3,44.44468445756721
5.046241215140174,Manhattan,StatenIsland,14,2,22.429100384180803
8.703144465699456,Brooklyn,Manhattan,5,1,32.53172141742874
7.388421505567626,Bronx,StatenIsland,4,4,31.94963505227072
2.2379584620852304,Queens,Brooklyn,17,4,17.067514198019236
3.3966577142463708,Queens,StatenIsland,20,1,19.17997360906362
1.7229502553408544,Queens,StatenIsland,18,1,14.205869870396466
3.722596114671566,StatenIsland,Brooklyn,0,3,19.32762604328926
14.389343591554958,Brooklyn,Bronx,3,4,53.01902667541432
13.650475460245476,Manhattan,Bronx,9,2,45.34095568788944
12.438799682949334,Manhattan,Bronx,3,4,46.431411864636594
12.774047821193726,StatenIsland,Manhattan,6,3,44.38599652655051
13.832190667063484,Queens,Queens,3,2,50.148345645085676
3.228303854402616,Bronx,Queens,16,4,17.71721418896338
8.917674253175491,Manhattan,Bronx,20,4,32.72404883264482
5.959782618655467,Manhattan,StatenIsland,18,4,29.581556265405084
3.2917365144532544,Queens,Bronx,6,3,15.492658013654953
2.483854971134056,StatenIsland,Bronx,0,4,14.603072827774767
13.09286291603157,StatenIsland,Brooklyn,5,4,43.936707048072115
9.755806002158891,Queens,Brooklyn,2,4,37.45131729273304
10.768869581576201,Queens,Brooklyn,20,1,37.880066087522266
13.41992480111917,StatenIsland,Bronx,16,2,44.77352820334141
3.2348921699365483,Queens,Bronx,6,1,14.623520201811244
14.89826503013501,Brooklyn,Queens,4,3,48.369855108479754
7.623803741198763,StatenIsland,Brooklyn,18,1,34.65628004418245
5.488263107518994,StatenIsland,Queens,13,4,19.49140766921434
14.092361501276661,StatenIsland,Queens,0,1,45.320840342311044
4.278856790455251,Brooklyn,Brooklyn,12,2,21.060505090425934
12.960625494771483,Brooklyn,Brooklyn,4,2,47.29533391899536
2.850473468941753,StatenIsland,Bronx,23,3,13.825335264624297
9.207182825044894,Queens,Bronx,17,2,38.87148390791384
9.495439650871381,StatenIsland,Queens,6,3,36.24525908627563
5.321221992263041,StatenIsland,Bronx,6,2,22.379619343426768
9.360041887204764,Queens,StatenIsland,10,4,37.02364297549344
14.131911868186203,Bronx,Queens,14,3,48.40695244825851
5.914362314464747,Bronx,Queens,18,3,28.1082850405046
2.22914572101745,Queens,Queens,14,3,11.372931123988149
7.138223710573779,Queens,Bronx,12,1,27.622349376951444
1.9846191564593623,Bronx,Bronx,5,3,13.63475398821873
10.04399635564251,Queens,Bronx,11,3,35.48311739834695
11.223841929645085,Brooklyn,Bronx,11,1,41.933301254095845
1.0133832372530491,Brooklyn,Bronx,22,1,10.39094157756195
12.547168071066169,Bronx,Brooklyn,15,3,43.36735337182587
10.440737698426645,Manhattan,Bronx,4,2,37.5849621878845
6.9661340480717655,Bronx,StatenIsland,4,2,24.51955434874137
0.5839240818241596,Bronx,StatenIsland,11,2,4.446438744894932
3.0908840784492027,Manhattan,Bronx,12,2,17.361847057200773
7.1012693851893935,Manhattan,Manhattan,12,1,29.532206158621236
12.2823056728013,StatenIsland,Bronx,21,3,41.55778534393172
1.1615639284385741,Manhattan,Bronx,20,3,6.318949173029532
10.60686769646051,Queens,Bronx,4,2,35.39539194910918
0.7498640794555075,Brooklyn,Queens,17,3,16.866249776406885
8.211979922008247,Queens,Queens,18,4,33.50117138148934
4.623416946593451,Brooklyn,Bronx,12,4,20.585766421178352
11.80189422186089,StatenIsland,StatenIsland,15,2,39.63165588474571
2.7408870871829887,StatenIsland,Queens,12,1,13.140385596291974
12.825479690991255,Queens,StatenIsland,15,3,41.74164799965928
11.48610498291025,Bronx,Manhattan,19,2,43.990729702220314
14.648996299126356,StatenIsland,Queens,11,1,48.76380143948233
8.428467734892278,Bronx,Manhattan,20,3,33.58466766185019
3.697046677406258,StatenIsland,Brooklyn,5,4,17.884601468046565
11.270563009031603,Brooklyn,Bronx,15,4,40.4809010931735
8.269387067122143,Manhattan,Queens,22,3,31.238304500956804
0.8149312866926808,Queens,Queens,4,3,5.71740633313158
3.122796821381943,Bronx,Manhattan,4,1,13.492840720596709
3.975540558628648,Queens,Queens,2,1,17.790864528212687
10.52384058250821,StatenIsland,Queens,11,2,36.12170382892795
13.451038937105817,Manhattan,Bronx,11,3,47.80090631964486
2.9206166886028075,Manhattan,Brooklyn,19,2,17.914101688026562
7.043463969520668,Bronx,Queens,11,3,26.758310939103378
9.651589629689019,StatenIsland,Brooklyn,10,1,34.426200546884516
12.680050752814868,Bronx,Queens,21,1,43.733135501677374
13.20661143702193,Bronx,StatenIsland,4,1,45.550893439049624
7.291898234007169,Queens,Manhattan,7,4,26.867933363509586
3.0026703189014565,Brooklyn,Bronx,8,4,15.074280430467672
3.33488280180168,Bronx,Queens,22,2,12.536175135751447
9.79692811725865,Brooklyn,Brooklyn,5,1,34.272604992181115
7.802195367694632,StatenIsland,Manhattan,0,3,33.92729853391224
1.388719787675606,Queens,StatenIsland,1,4,13.760515761201717
14.310693322977727,Brooklyn,StatenIsland,10,2,47.99180121265413
10.070922519387219,Manhattan,Brooklyn,21,2,35.76863932846293
12.274499670371426,StatenIsland,Bronx,8,4,42.30617596322866
5.924461345105989,Bronx,StatenIsland,1,2,22.446491159811387
7.481267872044626,Queens,Bronx,22,2,30.713035244419654
5.512324124071727,StatenIsland,Manhattan,19,1,28.933354016997388
3.2844421079214743,StatenIsland,StatenIsland,18,4,22.703912545035575
13.793010512642605,Bronx,StatenIsland,2,4,46.21393902285105
13.100854706584938,Brooklyn,Brooklyn,22,3,43.31186094520908
8.656575273758918,Queens,Brooklyn,22,1,29.042847405976985
5.451338372393485,StatenIsland,StatenIsland,9,4,27.196894391283305
4.731163180455865,StatenIsland,Bronx,21,4,19.70601192553964
2.399077768367397,Brooklyn,Manhattan,3,2,11.28886481313741
10.689496231273825,Bronx,StatenIsland,19,4,43.14719010028355
1.147936156253591,Queens,Queens,14,3,9.046018257769536
9.274953704613699,StatenIsland,Bronx,22,1,33.83365196417221
11.400470980624316,Queens,Bronx,3,1,38.52615156703133
0.5796822272690099,Manhattan,Manhattan,14,3,8.213425103319883
9.567854441129601,Queens,Manhattan,12,4,35.283306311759084
9.62276301944476,Bronx,Bronx,11,4,34.11985200193688
1.7655096481290062,Bronx,StatenIsland,19,1,11.219939666507496
11.00485237479977,Queens,Queens,22,3,38.405167642939354
3.5358925569831845,StatenIsland,Bronx,20,4,17.27613198611217
6.955703503322035,Brooklyn,Manhattan,23,3,26.974523918921285
4.366096747909122,Queens,StatenIsland,22,3,19.45965180859704
2.0597000315947014,Manhattan,Brooklyn,16,3,13.581487187612433
11.917340949284332,Brooklyn,Queens,13,2,40.679125269629836
10.265624245584107,StatenIsland,StatenIsland,10,2,35.69546986351827
12.02644847349782,StatenIsland,Brooklyn,10,1,36.428417743237304
7.030780387303141,Queens,Bronx,23,2,24.510792087660953
4.504102046422428,StatenIsland,Manhattan,15,3,20.420097639372912
10.498442198216306,Brooklyn,StatenIsland,17,4,41.037542635480584
5.690418304032968,Bronx,Brooklyn,16,2,20.8590680119232
10.460597707752791,Brooklyn,Queens,0,4,38.49045437814899
2.4606595269251135,StatenIsland,Brooklyn,22,3,14.497238172311667
5.56907669247227,Queens,Brooklyn,23,2,20.862413367470182
12.723171562154782,StatenIsland,Queens,6,1,42.903906856652384
4.2966033240781645,Manhattan,Brooklyn,8,1,17.511069363764186
3.457840934555206,Queens,StatenIsland,1,2,14.3647508172946
6.105857356218842,Brooklyn,StatenIsland,19,1,25.431599397988542
6.243433613463322,Manhattan,Manhattan,0,1,22.052033985202016
2.3541951952465414,StatenIsland,Bronx,3,3,13.215027927032253
7.199115761004816,Manhattan,Bronx,15,3,24.505675798440485
4.1713827050862005,Brooklyn,Queens,20,1,19.06318402910991
14.872346599855216,Bronx,Manhattan,2,4,48.85479312170554
6.900737086439169,Queens,Brooklyn,22,3,29.450417861831887
4.235312433582359,Queens,StatenIsland,15,3,18.592151092512108
1.2365922240106308,Brooklyn,Manhattan,1,3,14.491935420926367
